date,tsm_usd,twse_twd,usdtwd,twse_usd_per_adr,premium,premium_ma60
1999-08-06,8.8224,,,,,
1999-08-09,9.4003,,,,,
1999-08-10,9.8626,,,,,
1999-08-11,10.4405,,,,,
1999-08-12,11.1918,,,,,
1999-08-13,10.8258,,,,,
1999-08-16,11.3255,,,,,
1999-08-17,11.2544,,,,,
1999-08-18,10.8516,,,,,
1999-08-19,10.7331,,,,,
1999-08-20,10.8516,,,,,
1999-08-23,10.899,,,,,
1999-08-24,10.7805,,,,,
1999-08-25,10.9701,,,,,
1999-08-26,10.9701,,,,,
1999-08-27,10.899,,,,,
1999-08-30,10.8753,,,,,
1999-08-31,10.9701,,,,,
1999-09-01,11.2307,,,,,
1999-09-02,10.9938,,,,,
1999-09-03,11.823,,,,,
1999-09-07,11.9889,,,,,
1999-09-08,12.2732,,,,,
1999-09-09,12.3206,,,,,
1999-09-10,12.7708,,,,,
1999-09-13,12.1073,,,,,
1999-09-14,12.3443,,,,,
1999-09-15,11.9415,,,,,
1999-09-16,11.8941,,,,,
1999-09-17,12.2021,,,,,
1999-09-20,11.5624,,,,,
1999-09-21,11.7283,,,,,
1999-09-22,11.3255,,,,,
1999-09-23,11.0885,,,,,
1999-09-24,10.9938,,,,,
1999-09-27,11.3018,,,,,
1999-09-28,11.1833,,,,,
1999-09-29,11.7519,,,,,
1999-09-30,11.1833,,,,,
1999-10-01,11.5861,,,,,
1999-10-04,11.9178,,,,,
1999-10-05,12.1784,,,,,
1999-10-06,12.2732,,,,,
1999-10-07,11.8941,,,,,
1999-10-08,11.4676,,,,,
1999-10-11,11.9652,,,,,
1999-10-12,11.8941,,,,,
1999-10-13,11.7697,,,,,
1999-10-14,12.06,,,,,
1999-10-15,11.7519,,,,,
1999-10-18,11.4439,,,,,
1999-10-19,11.4676,,,,,
1999-10-20,11.8467,,,,,
1999-10-21,11.823,,,,,
1999-10-22,11.9415,,,,,
1999-10-25,12.2732,,,,,
1999-10-26,12.5101,,,,,
1999-10-27,12.2732,,,,,
1999-10-28,12.6286,,,,,
1999-10-29,13.1262,,,,,
1999-11-01,12.9129,,,,,
1999-11-02,13.3631,,,,,
1999-11-03,13.4342,,,,,
1999-11-04,13.2683,,,,,
1999-11-05,13.4579,,,,,
1999-11-08,13.6948,,,,,
1999-11-09,13.6948,,,,,
1999-11-10,14.453,,,,,
1999-11-11,14.3582,,,,,
1999-11-12,13.837,,,,,
1999-11-15,13.9791,,,,,
1999-11-16,14.4056,,,,,
1999-11-17,14.0028,,,,,
1999-11-18,14.145,,,,,
1999-11-19,14.0739,,,,,
1999-11-22,14.1213,,,,,
1999-11-23,14.1213,,,,,
1999-11-24,14.1213,,,,,
1999-11-26,13.7896,,,,,
1999-11-29,13.7422,,,,,
1999-11-30,13.5763,,,,,
1999-12-01,13.7185,,,,,
1999-12-02,14.8084,,,,,
1999-12-03,15.4244,,,,,
1999-12-06,15.1638,,,,,
1999-12-07,15.0216,,,,,
1999-12-08,14.4767,,,,,
1999-12-09,14.6425,,,,,
1999-12-10,14.5952,,,,,
1999-12-13,14.3819,,,,,
1999-12-14,13.9554,,,,,
1999-12-15,13.8607,,,,,
1999-12-16,14.2161,,,,,
1999-12-17,14.4293,,,,,
1999-12-20,14.7847,,,,,
1999-12-21,15.377,,,,,
1999-12-22,15.1401,,,,,
1999-12-23,15.5192,,,,,
1999-12-27,16.3011,,,,,
1999-12-28,16.6802,,,,,
1999-12-29,16.8934,,,,,
1999-12-30,16.8223,,,,,
1999-12-31,17.0593,,,,,
2000-01-03,17.9596,,,,,
2000-01-04,18.0781,69.649,,,,
2000-01-05,18.1966,71.214,,,,
2000-01-06,17.4384,69.649,,,,
2000-01-07,18.1018,67.6925,,,,
2000-01-10,18.8363,70.0402,,,,
2000-01-11,18.5757,68.8663,,,,
2000-01-12,18.8837,70.8229,,,,
2000-01-13,19.2628,69.649,,,,
2000-01-14,20.9213,71.214,,,,
2000-01-18,20.4001,71.9967,,,,
2000-01-19,20.2579,71.9967,,,,
2000-01-20,19.9499,71.214,,,,
2000-01-21,20.7081,72.779,,,,
2000-01-24,22.6272,73.5617,,,,
2000-01-25,24.8307,75.5183,,,,
2000-01-26,23.9778,80.6048,,,,
2000-01-27,22.3192,81.3875,,,,
2000-01-28,20.5896,79.8225,,,,
2000-01-31,19.6656,79.431,,,,
2000-02-01,22.0349,79.0398,,,,
